,State or Union Territory,Population [18][19],Density [a],id,DensityScale
0,Uttar Pradesh,199812341,828,9,2.9180303367848803
1,Maharashtra,112374333,365,27,2.5622928644564746
2,Bihar,104099452,1102,10,3.042181594515766
3,West Bengal,91276115,1029,19,3.012415374762433
4,Madhya Pradesh,72626809,236,23,2.3729120029701067
5,Tamil Nadu,72147030,555,33,2.7442929831226763
6,Rajasthan,68548437,201,8,2.303196057420489
7,Karnataka,61095297,319,29,2.503790683057181
8,Gujarat,60439692,308,24,2.4885507165004443
9,Andhra Pradesh,"49,577,103[b]",303,28,2.481442628502305
10,Odisha,41974219,269,21,2.429752280002408
11,Telangana,35003674,312,0,2.494154594018443
12,Kerala,33406061,859,32,2.9339931638312424
13,Jharkhand,32988134,414,20,2.617000341120899
14,Assam,31205576,398,18,2.5998830720736876
15,Punjab,27743338,551,3,2.741151598851785
16,Chhattisgarh,25545198,189,22,2.2764618041732443
17,Haryana,25351462,573,6,2.75815462196739
18,NCT of Delhi,16787941,11297,7,4.052963128755503
19,Jammu & Kashmir,12267032,297,1,2.4727564493172123
20,Uttarakhand,10086292,189,5,2.2764618041732443
21,Himachal Pradesh,6864602,123,2,2.089905111439398
22,Tripura,3673917,350,16,2.5440680443502757
23,Meghalaya,2966889,132,17,2.12057393120585
24,Manipur,2570390,122,14,2.0863598306747484
25,Nagaland,1978502,119,13,2.0755469613925306
26,Goa,1458545,394,30,2.595496221825574
27,Arunanchal Pradesh,1383727,17,12,1.2304489213782739
28,Puducherry,1247953,2598,34,3.414639146737009
29,Mizoram,1097206,52,15,1.7160033436347992
30,Chandigarh,1055450,9252,4,3.966235624098582
31,Sikkim,610577,86,11,1.9344984512435677
32,Daman & Diu,585764,970,25,2.9867717342662448
33,Andaman & Nicobar Island,380581,46,35,1.662757831681574
34,Lakshadweep,64473,2013,31,3.3038437748886547
